"name","industry_label_list","revenue","netIncome","equity","numEmployees","locationCity_list","stockSymbol","tradedAs_list","ceo_name_list","foundingDate","founded_list"
"Nitto Denko","Chemical substance","825243.0",,,31997,"",,"","",,""
"Nordeus","Video game industry","1.715E7",,,250,"",,"","",,""
"Nordsee","Restaurant","3.54E8",,,6000,"",,"","",,""
"Bulga Coal","Mining","1.3E9",,,1151,"",,"","",,""
"Nepal Telecom","Telecommunications","3.43447E11",,,2016,"",,"","",,""
"New World Resources","Mining","6.76E8",,,17000,"",,"","",,""
"United Co-operatives","Funeral director,Pharmacy,Supermarket,Travel agency","9.0E9",,,87500,"",,"","",,""
"Unity Technologies","Software,Video game industry","1.11E9",,,5000,"",,"","",,""
"Urban Outfitters","Retail","3.9E9",,,24000,"",,"","",,""
"Veeva Systems","Software","1.5E9",,,4506,"",,"","",,""
"Vallourec","Manufacturing","2.965E9",,,18325,"",,"","",,""
"Velodyne Lidar","Lidar","1.011E8",,,500,"",,"","",,""
"Ventas (company)","Health care,Real estate investment trust","3.8E9",,,500,"",,"","",,""
"Upstart (company)","Financial technology","2.33416E8",,,554,"",,"","",,""
"Veidekke","Construction","3.0E10",,,8577,"",,"","",,""
"Unguka Bank","Bank","387000.0",,,170,"",,"","",,""
"Unibail-Rodamco-Westfield","Commercial property","5.4E9",,,3100,"",,"","",,""
"Universo Online","Online service provider","9.54E7",,,1001,"",,"","",,""
"Urban One","Broadcasting,Media (communication)","4.414E8",,,1011,"",,"","",,""
"Valvoline","Breakdown (vehicle),Chemical industry","2.3E9",,,6100,"",,"","",,""
"Vicat","Construction","2.014E9",,,7369,"",,"","",,""
"Vice Media","Mass media","1.0E9",,,3000,"",,"","",,""
"Ixia (company)","Computer network,Network management,Security testing,Telecommunications,Wireless network","4.12E8",,,1700,"",,"","",,""
"JKX Oil & Gas","Petroleum industry","1.929E8",,,480,"",,"","",,""
"Mask Associates","Jute trade,Manufacturing","5000000.0",,,50,"",,"","",,""
"Brown Brothers Harriman & Co.","Commercial bank,Investment banking,Mergers and acquisitions,Private equity,Wealth management","1.3E9",,,5701,"",,"","",,""
"C&S Wholesale Grocers","Distribution (marketing),Grocery store","3.0E10",,,17000,"",,"","",,""
"Buckeye Partners","Petroleum","6.62E9",,,1870,"",,"","",,""
"Business & Decision","IT service management,Information technology consulting","2.49E8",,,2800,"",,"","",,""
"C. H. Robinson","Logistics,Transport","1.6207E10",,,15262,"",,"","",,""
"CBS Corporation","Mass media","1.4514E10",,,12700,"",,"","",,""
"CVS Health","Health insurance in the United States,Managed care,Pharmacy (shop)","2.687E11",,,295000,"",,"","",,""
"Brinker International","Restaurant","2.905E9",,,62200,"",,"","",,""
"Bucher Industries","Mechanical engineering","2.0",,,12,"",,"","",,""
"Burlington Northern Santa Fe, LLC","Rail transport","2.3239E10",,,48000,"",,"","",,""
"CBB Bank","Bank","5.12E7",,,192,"",,"","",,""
"CCB Brasil","Financial services","1.2E9",,,1000,"",,"","",,""
"Brookdale Senior Living","Assisted living,Retirement home","3.02E9",,,62550,"",,"","",,""
"Calsonic Kansei","Automotive industry","8.91E9",,,22382,"",,"","",,""
"Capri Holdings","Fashion","4.71E9",,,14846,"",,"","",,""
"Card Factory","Retail","4.221E8",,,9936,"",,"","",,""
"Cemex","Building material","1.3E10",,,41000,"",,"","",,""
"Central European Media Enterprises","Mass media","7.039E8",,,2600,"",,"","",,""
"Canaccord Genuity","Financial services","2.0E9",,,2356,"",,"","",,""
"Capital One","Financial services","2.6033E10",,,51985,"",,"","",,""
"Celulose Irani","Paper,Pulp (paper)","2.359E8",,,2000,"",,"","",,""
"Carlsberg Srbija","Alcoholic drink","8.358E7",,,555,"",,"","",,""
"Cerro Verde","Mining","1.7E9",,,1938,"",,"","",,""
"Codan","Communication,Electronics,Metal detector","3.48E8",,,500,"",,"","",,""
"Collins Foods","Consumer service,Franchising,Restaurant","5.743E8",,,9181,"",,"","",,""
