"name","industry_label_list","revenue","numEmployees","locationCity_list","stockSymbol","tradedAs_list","ceo_name_list","foundingDate","founded_list"
"Suzano Papel e Celulose","Pulp and Paper",,37000,"",,"","",,""
"Tyler Technologies","Software",,5368,"",,"","",,""
"Genesis HealthCare","Health care",,68700,"",,"","",,""
"Türkmengaz","Petroleum industry",,25000,"",,"","",,""
"GGB (company)","Manufacturing",,1100,"",,"","",,""
"Tutor Perini","Construction",,10061,"",,"","",,""
"Executive Outcomes","Private military company",,2000,"",,"","",,""
"UOB-Kay Hian","Financial services",,3036,"",,"","",,""
"Tyson Foods","Food processing",,139000,"",,"","",,""
"Typhoon Graphics","Anime",,17,"",,"","",,""
"Ultimate Software","Software as a service",,5144,"",,"","",,""
"Turn 10 Studios","Video game industry",,100,"",,"","",,""
"Turtle Rock Studios","Video game industry",,125,"",,"","",,""
"Télébec","Telecommunications",,750,"",,"","",,""
"Ultra Mobile","Telecommunications",,150,"",,"","",,""
"Georgian State Electrosystem","Energy",,1400,"",,"","",,""
"Goodby, Silverstein & Partners","Advertising,Design,Interactivity,Marketing,Strategy",,300,"",,"","",,""
"Blitz (company)","Automotive industry",,4000,"",,"","",,""
"Blaser","Firearm",,350,"",,"","",,""
"The Greenbrier Companies","Naval architecture,Rail transport",,12155,"",,"","",,""
"Powerco","Energy industry",,330,"",,"","",,""
"JPay","Financial services,Inmate video visitation",,250,"",,"","",,""
"Red Owl (retail chain)","Supermarket",,6,"",,"","",,""
"Bitstream Inc.","Mobile browser,Type foundry",,96,"",,"","",,""
"Blackboard Inc.","Educational technology",,3000,"",,"","",,""
"Manley & Associates","Video game developer",,60,"",,"","",,""
"Nello L. Teer Company","General contractor",,5000,"",,"","",,""
"Warren and Mahoney","Architecture",,250,"",,"","",,""
"Jack's Flight Club","Internet",,15,"",,"","",,""
"Metrohm","Laboratory",,2000,"",,"","",,""
"Blake's Lotaburger","Fast food restaurant",,1600,"",,"","",,""
"Marsh (company)","Professional services",,30300,"",,"","",,""
"Marex (British company)","Financial services",,1000,"",,"","",,""
"JUMO","Financial technology",,250,"",,"","",,""
"Sparebanken Vest","Bank",,732,"",,"","",,""
"MIC Tanzania Limited","Telecommunications",,300000,"",,"","",,""
"Bonjour Holdings","Retail",,850,"",,"","",,""
"Bouclair","Retail",,1200,"",,"","",,""
"Blue Bell Creameries","Ice cream",,1000,"",,"","",,""
"Bouygues","Conglomerate (company)",,129000,"",,"","",,""
"American Industries","Construction",,200,"",,"","",,""
"Blue Yonder","Supply chain management",,5500,"",,"","",,""
"Blue Hills Bank","Bank",,228,"",,"","",,""
"Blurb, Inc.","Self-publishing",,120,"",,"","",,""
"Brasil Kirin","Drink industry",,10041,"",,"","",,""
"Bradespar","Holding company",,350,"",,"","",,""
"GameStop","Retail",,17000,"",,"","",,""
"General Revenue Corporation","Debt collection",,1300,"",,"","",,""
"Gaia Online","Internet,Social networking service",,25,"",,"","",,""
"Gainward","Computer hardware",,20,"",,"","",,""
"Amuze","Video game industry",,50,"",,"","",,""
"Gamefam","Video game industry",,37,"",,"","",,""
"Games by Apollo","Video game industry",,30,"",,"","",,""
"Gbanga","Video game industry",,14,"",,"","",,""
"Gearbox Software","Video game industry",,550,"",,"","",,""
"Genki (company)","Video game industry",,156,"",,"","",,""
"Gaumard Scientific","Medical simulation",,301,"",,"","",,""
"Andorra Telecom","Telecommunications",,246,"",,"","",,""
"Gfinity","Entertainment,Video game industry",,62,"",,"","",,""
"Herstal Group","Firearm",,2500,"",,"","",,""
"Highmark","Health care,Insurance",,40000,"",,"","",,""
"Highbridge Capital Management","Hedge fund",,300,"",,"","",,""
"Living Media","Mass media",,1849,"",,"","",,""
"Bmp greengas","Renewable energy",,50,"",,"","",,""
"Hoist Finance","Financial services",,651,"",,"","",,""
"Hokuto Bank","Financial services",,1711,"",,"","",,""
"Herfy","Restaurant",,1800,"",,"","",,""
"Arkema","Chemical industry",,20500,"",,"","",,""
"Hokkaido Railway Company","Private railway",,7970,"",,"","",,""
"Lotus Cars","Automotive industry",,1487,"",,"","",,""
"Líder","Clothing,Electronics,Grocery store,Hypermarket,Retail",,12000,"",,"","",,""
"Locus Computing Corporation","Software",,300,"",,"","",,""
"NH Hotel Group","Tourism,Travel",,18000,"",,"","",,""
"NEC","Electronics industry,Information technology",,114714,"",,"","",,""
"NHST Media Group","Mass media",,700,"",,"","",,""
"Lojas Americanas","Department store",,18775,"",,"","",,""
"Lixil Group","List of building materials",,58889,"",,"","",,""
"Lyrtech","Integrated circuit",,90,"",,"","",,""
"Naftal","Energy,Petrochemical",,32829,"",,"","",,""
"NanoFlowcell","Artificial intelligence,Automotive industry,Energy",,200,"",,"","",,""
"NRG Energy","Electric utility",,4862,"",,"","",,""
"National Semiconductor","Semiconductor",,5800,"",,"","",,""
"Nabil Bank","Bank",,889,"",,"","",,""
"National Bank of Canada","Bank",,26920,"",,"","",,""
"Nature's Path","Organic food",,500,"",,"","",,""
"NS Railinfratrust","Rail transport",,2651,"",,"","",,""
"National Petrochemical Company","Chemical industry",,37000,"",,"","",,""
"National Aviation Services","Aviation",,8000,"",,"","",,""
"Pilot Corporation","Convenience store,Petroleum,Restaurant,Truck stop",,19000,"",,"","",,""
"Photon etc.","Medical imaging,Nanotechnology",,25,"",,"","",,""
"Phillips 66","Petroleum industry",,14600,"",,"","",,""
"PharmaMar","Pharmaceutical industry",,600,"",,"","",,""
"Carta Worldwide","Financial services",,75,"",,"","",,""
"Philtrust Bank","Financial services",,602,"",,"","",,""
"Pilatus Aircraft","Aerospace",,1905,"",,"","",,""
"Petrokemija","Chemical industry",,1600,"",,"","",,""
"Pilgrim's Pride","Meat packing industry",,35700,"",,"","",,""
"Radial, Inc.","E-commerce",,7000,"",,"","",,""
