"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record1Value","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record2Value","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record1PreprocessedValue","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record2PreprocessedValue","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity similarity","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity postproccesedSimilarity","[1] CompanyNameComparatorTokenizingJaccardSimilarity record1Value","[1] CompanyNameComparatorTokenizingJaccardSimilarity record2Value","[1] CompanyNameComparatorTokenizingJaccardSimilarity record1PreprocessedValue","[1] CompanyNameComparatorTokenizingJaccardSimilarity record2PreprocessedValue","[1] CompanyNameComparatorTokenizingJaccardSimilarity similarity","[1] CompanyNameComparatorTokenizingJaccardSimilarity postproccesedSimilarity"
"WekaMatchingRule","ft_id_511","dbpedia_219","0.012903225806451613","0","-99.0","18107.0","-99.0","18107.0","0.9817940000000001","0.9817940000000001","VTB Bank","Yokogawa Electric","VTB Bank","Yokogawa Electric","0.0","0.0"
"WekaMatchingRule","ft_id_1459","dbpedia_4070","1.0","1","103300.0","114700.0","103300.0","114700.0","0.9886","0.9886","Valeo","Valeo","Valeo","Valeo","1.0","1.0"
"WekaMatchingRule","ft_id_1873","dbpedia_534","0.012903225806451613","0","12506.0","1400.0","12506.0","1400.0","0.988894","0.988894","Vietnam Technological & Commercial Joint Stock Bank","Man Group","Vietnam Technological & Commercial Joint Stock Bank","Man Group","0.0","0.0"
"WekaMatchingRule","ft_id_822","dbpedia_3840","0.012903225806451613","0","35267.0","8127.0","35267.0","8127.0","0.97286","0.97286","Absa Group","Endava","Absa Group","Endava","0.0","0.0"
"WekaMatchingRule","ft_id_874","dbpedia_5381","1.0","1","18600.0","16500.0","18600.0","16500.0","0.9979","0.9979","Conagra Brands","Conagra Brands","Conagra Brands","Conagra Brands","1.0","1.0"
"WekaMatchingRule","ft_id_1534","dbpedia_4397","0.012903225806451613","0","26000.0","343.0","26000.0","343.0","0.974343","0.974343","Crown Holdings","QCR Holdings","Crown Holdings","QCR Holdings","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1915","dbpedia_6780","0.012903225806451613","0","117638.0","6200.0","117638.0","6200.0","0.888562","0.888562","Cencosud","Masimo","Cencosud","Masimo","0.0","0.0"
"WekaMatchingRule","ft_id_1910","dbpedia_4512","0.012903225806451613","0","11089.0","3000.0","11089.0","3000.0","0.991911","0.991911","Commercial Metals","Prestige Group","Commercial Metals","Prestige Group","0.0","0.0"
"WekaMatchingRule","ft_id_424","dbpedia_5048","0.012903225806451613","0","27500.0","14.0","27500.0","14.0","0.972514","0.972514","Keurig Dr Pepper","Sonoma Cheese Factory","Keurig Dr Pepper","Sonoma Cheese Factory","0.0","0.0"
"WekaMatchingRule","ft_id_571","dbpedia_6364","0.012903225806451613","0","1600.0","1200.0","1600.0","1200.0","0.9996","0.9996","Devon Energy","Azomureș","Devon Energy","Azomureș","0.0","0.0"
"WekaMatchingRule","ft_id_1491","dbpedia_6560","0.012903225806451613",,"3222.0","605.0","3222.0","605.0","0.997383","0.997383","Globe Life","First Community Bank","Globe Life","First Community Bank","0.0","0.0"
"WekaMatchingRule","ft_id_1786","dbpedia_5800","0.012903225806451613","0","30000.0","700.0","30000.0","700.0","0.9707","0.9707","Manpower","Saur Neptun Gdańsk","Manpower","Saur Neptun Gdańsk","0.0","0.0"
"WekaMatchingRule","ft_id_1090","dbpedia_6153","0.012903225806451613",,"32560.0","1400.0","32560.0","1400.0","0.96884","0.96884","Swire Pacific","Shumerlya Special Vehicles Plant","Swire Pacific","Shumerlya Special Vehicles Plant","0.0","0.0"
"WekaMatchingRule","ft_id_1724","dbpedia_5439","0.012903225806451613","0","51000.0","29050.0","51000.0","29050.0","0.97805","0.97805","AECOM Technology","Amkor Technology","AECOM Technology","Amkor Technology","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_387","dbpedia_1115","0.012903225806451613","0","10219.0","922.0","10219.0","922.0","0.990703","0.990703","Swiss Life Holding","Covivio","Swiss Life Holding","Covivio","0.0","0.0"
"WekaMatchingRule","ft_id_1384","dbpedia_4532","0.012903225806451613","0","-99.0","244.0","-99.0","244.0","0.999657","0.999657","SDIC Power Holdings","Sarajevo Tobacco Factory","SDIC Power Holdings","Sarajevo Tobacco Factory","0.0","0.0"
"WekaMatchingRule","ft_id_1256","dbpedia_5330","0.012903225806451613","0","90000.0","50.0","90000.0","50.0","0.91005","0.91005","Metro","United Devices","Metro","United Devices","0.0","0.0"
"WekaMatchingRule","ft_id_422","dbpedia_4337","0.012903225806451613","0","13592.0","884.0","13592.0","884.0","0.987292","0.987292","Bank of Nanjing","Chelmsford Star Co-operative Society","Bank of Nanjing","Chelmsford Star Co-operative Society","0.0","0.0"
"WekaMatchingRule","ft_id_920","dbpedia_845","1.0","1","-99.0","1.0","-99.0","1.0","0.9999","0.9999","M&G","M&G","M&G","M&G","1.0","1.0"
"WekaMatchingRule","ft_id_1480","dbpedia_29","0.012903225806451613","0","4684.0","978.0","4684.0","978.0","0.996294","0.996294","Atmos Energy","Atlas Energy","Atmos Energy","Atlas Energy","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_655","dbpedia_3011","0.012903225806451613","0","31000.0","3400.0","31000.0","3400.0","0.9724","0.9724","NXP Semiconductors","Trellix","NXP Semiconductors","Trellix","0.0","0.0"
"WekaMatchingRule","ft_id_167","dbpedia_5563","0.012903225806451613","0","90000.0","30000.0","90000.0","30000.0","0.94","0.94","Medtronic","Hudson's Bay Company","Medtronic","Hudson's Bay Company","0.0","0.0"
