"","name","domain","year founded","industry","size range","locality","country","linkedin url","current employee estimate","total employee estimate"
"4592001","aim","","1962.0","retail","10001+","bentonville, arkansas, united states","united states","linkedin.com/company/aim.com","10577","10841"
"1006197","unisys","unisys.com","","information technology and services","10001+","blue bell, pennsylvania, united states","united states","linkedin.com/company/unisys","10567","51274"
"2344392","burger king corporation","bk.com","1954.0","restaurants","10001+","miami, florida, united states","united states","linkedin.com/company/burger-king","10547","35920"
"4259636","tetra pak","tetrapak.com","","packaging and containers","10001+","hull, iowa, united states","united states","linkedin.com/company/tetra-pak","10536","22514"
"1790867","coca-cola femsa","coca-colafemsa.com","1993.0","food & beverages","10001+","mexico, distrito federal, mexico","mexico","linkedin.com/company/coca-cola-femsa","10527","25552"
"2850296","cnh industrial","cnhindustrial.com","2013.0","machinery","10001+","","","linkedin.com/company/cnh","10509","22405"
"1899135","banner health","bannerhealth.com","1999.0","hospital & health care","10001+","phoenix, arizona, united states","united states","linkedin.com/company/banner-health","10478","17475"
"4161857","upmc","upmc.com","1986.0","hospital & health care","10001+","pittsburgh, pennsylvania, united states","united states","linkedin.com/company/upmc","10468","21652"
"2833669","american family insurance","amfam.com","1927.0","insurance","10001+","madison, wisconsin, united states","united states","linkedin.com/company/american-family-insurance","10465","18626"
"2396220","hsbc global banking and markets","hsbcnet.com","1865.0","financial services","10001+","london, greater london, united kingdom","united kingdom","linkedin.com/company/hsbc-global-banking-and-markets","10452","24543"
"2947642","saint-gobain","saint-gobain.com","","building materials","10001+","la defense, hauts-de-seine, france","france","linkedin.com/company/saint-gobain","10444","28511"
"5024940","indian railways","indianrailways.gov.in","","transportation/trucking/railroad","10001+","","","linkedin.com/company/indian-railways_2","10432","13567"
"2330150","aerotek","aerotek.com","1983.0","staffing and recruiting","10001+","hanover, maryland, united states","united states","linkedin.com/company/aerotek","10421","37391"
"1481116","m&t bank","mtb.com","1856.0","financial services","10001+","buffalo, new york, united states","united states","linkedin.com/company/m&t-bank","10393","18545"
"2658736","visa","visa.com","1958.0","information technology and services","10001+","san francisco, california, united states","united states","linkedin.com/company/visa","10392","21681"
"6144467","dimension data","dimensiondata.com","1983.0","information technology and services","10001+","johannesburg, gauteng, south africa","south africa","linkedin.com/company/dimension-data","10385","25551"
"3955752","national grid","nationalgrid.com","1990.0","utilities","10001+","warwick, warwickshire, united kingdom","united kingdom","linkedin.com/company/national-grid","10356","19107"
"4411960","fnb south africa","fnb.co.za","1838.0","banking","10001+","johannesburg, gauteng, south africa","south africa","linkedin.com/company/fnbsa","10341","17889"
"6296129","mapfre","mapfre.com","1935.0","insurance","10001+","majadahonda, madrid, spain","spain","linkedin.com/company/mapfre","10334","21729"
"726336","govt. of india","","","government administration","10001+","","","linkedin.com/company/govt.-of-india","10327","11353"
"2389909","general dynamics information technology","gdit.com","","information technology and services","10001+","","","linkedin.com/company/general-dynamics-information-technology","10307","23786"
"2761038","etisalat","etisalat.com","1976.0","telecommunications","10001+","abu dhabi, abu dhabi, united arab emirates","united arab emirates","linkedin.com/company/etisalat","10304","17548"
"4000215","reliance communications","rcom.co.in","2002.0","telecommunications","10001+","bombay, maharashtra, india","india","linkedin.com/company/reliance-communications","10303","36105"
